Time,Number,GMDn,GSDn,mode_n,ultra_n,accum_n,coarse_n,Surface,GMDs,GSDs,mode_s,ultra_s,accum_s,coarse_s,Volume,GMDv,GSDv,mode_v,ultra_v,accum_v,coarse_v
2020-09-25 18:00:00,22643.050370847886,32.73032378367529,1.9600621329413273,[ 19.72507481  37.4920747  149.1486151 ],0.93,0.07,0.0,321151353.7113501,163.72251377468774,2.58055119569088,[ 23.91635017  71.26237437 249.3192874 ],0.29,0.68,0.03,13523339823.626911,390.55108944661225,2.590179800348323,[ 81.0297411 283.4914987 593.3336464],0.06,0.74,0.2
2020-09-25 19:00:00,45400.76660492058,33.71850239394829,1.7929153171525964,[  20.3687651    42.63081512 2285.770837  ],0.95,0.05,0.0,515159402.2871794,141.4883772750496,2.8199701609632815,[ 53.37598736 249.3192874  593.3336464 ],0.39,0.58,0.03,20588401513.130386,398.0254324242559,2.669492406089929,[  53.37598736  354.9460316  2437.388563  ],0.08,0.73,0.19
2020-09-26 20:00:00,22908.57537289146,30.742969337531893,2.1418721755733774,[15.2563391  29.94450846],0.91,0.08,0.0,325637594.22954196,165.6135067687954,2.6645956220732985,[ 16.26830907  71.26237437 192.8357499 ],0.29,0.66,0.05,14947240679.291925,470.85296370036116,2.8549934441472873,[ 16.79919438 219.2662121  416.766237  ],0.06,0.64,0.3
2020-09-26 21:00:00,19921.424491572998,39.62331945978247,2.0233582521961657,[15.7542007  34.04876402],0.89,0.11,0.0,377555587.1069809,176.09449384903513,2.6107069370384197,[15.7542007  36.30725647 89.22418168],0.27,0.68,0.05,17966566430.255314,472.1946369307727,2.7499738457625234,[  16.26830907  354.9460316  2437.388563  ],0.06,0.67,0.28
2020-09-26 22:00:00,42392.05895950774,32.380304694639435,1.7676151892734293,[27.19437402],0.95,0.05,0.0,446958347.2284424,141.02346149654073,2.9182300832102506,[ 39.97896578 205.62676    593.3336464 ],0.37,0.59,0.04,18721291508.11119,443.2337361219362,2.838379694649148,[ 53.37598736 302.2958056  593.3336464 ],0.07,0.67,0.26
2020-09-27 01:00:00,32475.1682059334,32.36366208751547,1.8116117753107126,[ 28.08181068 593.3336464 ],0.94,0.06,0.0,369574648.98139906,150.80079006928176,2.92402910724395,[ 42.63081512  92.13584309 212.3369981 ],0.34,0.61,0.05,16650693700.572842,482.20577432920084,2.8763421329086087,[ 322.3474232 2437.388563 ],0.06,0.64,0.3
2020-10-02 00:00:00,18351.74176403148,44.08844782694192,2.1800162640680303,[24.69681475 48.47388181],0.85,0.15,0.0,466502206.5740172,189.8378769594983,2.352377059570773,[ 15.7542007   92.13584309 241.4403412 ],0.23,0.74,0.03,21443068068.25079,407.6535491618376,2.485238440854507,[ 366.5290201 2360.36262  ],0.05,0.76,0.19
2020-10-02 01:00:00,34340.80933022053,41.66983547532589,1.9302992628803752,[39.97896578],0.9,0.1,0.0,654924658.8621559,170.32425037325555,2.500675389599734,[  55.11781116  241.4403412  2213.536292  ],0.28,0.69,0.02,27932499560.39927,381.6896355920498,2.447237138774373,[ 354.9460316 2437.388563 ],0.06,0.78,0.16
2020-10-02 02:00:00,33021.57941420925,48.140293225881464,1.9168934467508119,[42.63081512],0.87,0.13,0.0,728510896.2667587,164.09874015046532,2.3793709965782877,[ 241.4403412 2213.536292 ],0.3,0.68,0.02,29267536373.04734,358.15106525025857,2.4749860795395184,[ 354.9460316 1024.192684  2360.36262  ],0.08,0.78,0.15
2020-10-02 03:00:00,19373.5385134914,57.899445838683114,2.058120298385437,[56.91647606],0.78,0.22,0.0,654402867.110356,193.46095659949498,2.2389145474890833,[ 131.1701642  249.3192874 2213.536292 ],0.21,0.76,0.03,29578223629.579216,387.31795797282183,2.3895085468987642,[ 366.5290201 2437.388563 ],0.05,0.79,0.16
